English Infinitive,Spanish Infinitive,Present Participle Type,Spanish Present Participle,Regular Type,Spanish Present Yo,Spanish Present Tú,Spanish Present Él,Spanish Present Nosotros,Spanish Present Ellos,Preterite Type,Spanish Preterite Yo,Spanish Preterite Tú,Spanish Preterite Él,Spanish Preterite Nosotros,Spanish Preterite Ellos,Imperfect Type,Spanish Imperfect Yo,Spanish Imperfect Tú,Spanish Imperfect Él,Spanish Imperfect Nosotros,Spanish Imperfect Ellos,Simple Future Type,Spanish Simple Future Yo,Spanish Simple Future Tú,Spanish Simple Future Él,Spanish Simple Future Nosotros,Spanish Simple Future Ellos
To drink,Beber,Regular,Bebiendo,Regular,Bebo,Bebes,Bebe,Bebemos,Beben,Regular,Bebí,Bebiste,Bebió,Bebimos,Bebieron,Regular,Bebía,Bebías,Bebía,Bebíamos,Bebían,Regular,Beberé,Beberás,Beberá,Beberemos,Beberán
To eat,Comer,Regular,Comiendo,Regular,Como,Comes,Come,Comemos,Comen,Regular,Comí,Comiste,Comió,Comimos,Comieron,Regular,Comía,Comías,Comía,Comíamos,Comían,Regular,Comeré,Comerás,Comerá,Comeremos,Comerán
To eat breakfast,Desayunar,Regular,Desayunando,Regular,Desayuno,Desayunas,Desayuna,Desayunamos,Desayunan,Regular,Desayuné,Desayunaste,Desayunó,Desayunamos,Desayunaron,Regular,Desayunaba,Desayunabas,Desayunaba,Desayunábamos,Desayunaban,Regular,Desayunaré,Desayunarás,Desayunará,Desayunaremos,Desayunarán
To eat dinner,Cenar,Regular,Cenando,Regular,Ceno,Cenas,Cena,Cenamos,Cenan,Regular,Cené,Cenaste,Cenó,Cenamos,Cenaron,Regular,Cenaba,Cenabas,Cenaba,Cenábamos,Cenaban,Regular,Cenaré,Cenarás,Cenará,Cenaremos,Cenarán
To eat lunch,Almorzar,Regular,Almorzando,Stem Changing,Almuerzo,Almuerzas,Almuerza,Almorzamos,Almuerzan,Orthographic,Almorcé,Almorzaste,Almorzó,Almorzamos,Almorzaron,Regular,Almorzaba,Almorzabas,Almorzaba,Almorzábamos,Almorzaban,Regular,Almorzaré,Almorzarás,Almorzará,Almorzaremos,Almorzarán
To enjoy oneself,Divertirse,Stem Changing,Divirtiendo,"Reflexive, Stem Changing",Me divierto,Te diviertes,Se divierte,Nos divertimos,Se divierten,"Reflexive, Stem Changing",Me divertí,Te divertiste,Se divirtió,Nos divertimos,Se divirtieron,"Reflexive, Regular",Me divertía,Te divertías,Se divertía,Nos divertíamos,Se divertían,Regular,Me divertiré,Te divertirás,Se divertirá,Nos divertiremos,Se divertirán
To feel,Sentirse,Stem Changing,Sintiendo,"Reflexive, Stem Changing",Me siento,Te sientes,Se siente,Nos sentimos,Se sienten,"Reflexive, Stem Changing",Me sentí,Te sentiste,Se sintió,Nos sentimos,Se sintieron,"Reflexive, Regular",Me sentía,Te sentías,Se sentía,Nos sentíamos,Se sentían,Regular,Me sentiré,Te sentirás,Se sentirá,Nos sentiremos,Se sentirán
"To find,To meet",Encontrar,Regular,Encontrando,Stem Changing,Encuentro,Encuentras,Encuentra,Encontramos,Encuentran,Regular,Encontré,Encontraste,Encontró,Encontramos,Encontraron,Regular,Encontraba,Encontrabas,Encontraba,Encontrábamos,Encontraban,Regular,Encontraré,Encontrarás,Encontrará,Encontraremos,Encontrarán
To get up,Levantarse,Regular,Levantando,"Reflexive, Regular",Me levanto,Te levantas,Se levanta,Nos levantamos,Se levantan,"Reflexive, Regular",Me levanté,Te levantaste,Se levantó,Nos levantamos,Se levantaron,"Reflexive, Regular",Me levantaba,Te levantabas,Se levantaba,Nos levantábamos,Se levantaban,Regular,Me levantaré,Te levantarás,Se levantará,Nos levantaremos,Se levantarán
To give,Dar,Regular,Dando,Irregular,Doy,Das,Da,Damos,Dan,Irregular,Di,Diste,Dio,Dimos,Dieron,Regular,Daba,Dabas,Daba,Dábamos,Daban,Regular,Daré,Darás,Dará,Daremos,Darán
To go,Ir,Irregular,Yendo,Irregular,Voy,Vas,Va,Vamos,Van,Irregular,Fui,Fuiste,Fue,Fuimos,Fueron,Irregular,Iba,Ibas,Iba,Íbamos,Iban,Regular,Iré,Irás,Irá,Iremos,Irán
To go to bed,Acostarse,Regular,Acostando,"Reflexive, Stem Changing",Me acuesto,Te acuestas,Se acuesta,Nos acostamos,Se acuestan,"Reflexive, Regular",Me acosté,Te acostaste,Se acostó,Nos acostamos,Se acostaron,"Reflexive, Regular",Me acostaba,Te acostabas,Se acostaba,Nos acostábamos,Se acostaban,Regular,Me acostaré,Te acostarás,Se acostará,Nos acostaremos,Se acostarán
"To happen,To spend time",Pasar,Regular,Pasando,Regular,Paso,Pasas,Pasa,Pasamos,Pasan,Regular,Pasé,Pasaste,Pasó,Pasamos,Pasaron,Regular,Pasaba,Pasabas,Pasaba,Pasábamos,Pasaban,Regular,Pasaré,Pasarás,Pasará,Pasaremos,Pasarán
To have,Tener,Regular,Teniendo,"Irregular, Stem Changing",Tengo,Tienes,Tiene,Tenemos,Tienen,Irregular,Tuve,Tuviste,Tuvo,Tuvimos,Tuvieron,Regular,Tenía,Tenías,Tenía,Teníamos,Tenían,Irregular,Tendré,Tendrás,Tendrá,Tendremos,Tendrán
To know,Saber,Regular,Sabiendo,Irregular,Sé,Sabes,Sabe,Sabemos,Saben,Irregular,Supe,Supiste,Supo,Supimos,Supieron,Regular,Sabía,Sabías,Sabía,Sabíamos,Sabían,Irregular,Sabré,Sabrás,Sabrá,Sabremos,Sabrán
To know,Conocer,Regular,Conociendo,Irregular,Conozco,Conoces,Conoce,Conocemos,Conocen,Regular,Conocí,Conociste,Conoció,Conocimos,Conocieron,Regular,Conocía,Conocías,Conocía,Conocíamos,Conocían,Regular,Conoceré,Conocerás,Conocerá,Conoceremos,Conocerán
To learn,Aprender,Regular,Aprendiendo,Regular,Aprendo,Aprendes,Aprende,Aprendemos,Aprenden,Regular,Aprendí,Aprendiste,Aprendió,Aprendimos,Aprendieron,Regular,Aprendía,Aprendías,Aprendía,Aprendíamos,Aprendían,Regular,Aprenderé,Aprenderás,Aprenderá,Aprenderemos,Aprenderán
To leave,Salir,Regular,Saliendo,Irregular,Salgo,Sales,Sale,Salimos,Salen,Regular,Salí,Saliste,Salió,Salimos,Salieron,Regular,Salía,Salías,Salía,Salíamos,Salían,Irregular,Saldré,Saldrás,Saldrá,Saldremos,Saldrán
To listen,Escuchar,Regular,Escuchando,Regular,Escucho,Escuchas,Escucha,Escuchamos,Escuchan,Regular,Escuché,Escuchaste,Escuchó,Escuchamos,Escucharon,Regular,Escuchaba,Escuchabas,Escuchaba,Escuchábamos,Escuchaban,Regular,Escucharé,Escucharás,Escuchará,Escucharemos,Escucharán
To live,Vivir,Regular,Viviendo,Regular,Vivo,Vives,Vive,Vivimos,Viven,Regular,Viví,Viviste,Vivió,Vivimos,Vivieron,Regular,Vivía,Vivías,Vivía,Vivíamos,Vivían,Regular,Viviré,Vivirás,Vivirá,Viviremos,Vivirán
"To look,To watch",Mirar,Regular,Mirando,Regular,Miro,Miras,Mira,Miramos,Miran,Regular,Miré,Miraste,Miró,Miramos,Miraron,Regular,Miraba,Mirabas,Miraba,Mirábamos,Miraban,Regular,Miraré,Mirarás,Mirará,Miraremos,Mirarán
To look for,Buscar,Regular,Buscando,Regular,Busco,Buscas,Busca,Buscamos,Buscan,Orthographic,Busqué,Buscaste,Buscó,Buscamos,Buscaron,Regular,Buscaba,Buscabas,Buscaba,Buscábamos,Buscaban,Regular,Buscaré,Buscarás,Buscará,Buscaremos,Buscarán
To lose,Perder,Regular,Perdiendo,Stem Changing,Pierdo,Pierdes,Pierde,Perdemos,Pierden,Regular,Perdí,Perdiste,Perdió,Perdimos,Perdieron,Regular,Perdía,Perdías,Perdía,Perdíamos,Perdían,Regular,Perderé,Perderás,Perderá,Perderemos,Perderán
"To mount,To ride",Montar,Regular,Montando,Regular,Monto,Montas,Monta,Montamos,Montan,Regular,Monté,Montaste,Montó,Montamos,Montaron,Regular,Montaba,Montabas,Montaba,Montábamos,Montaban,Regular,Montaré,Montarás,Montará,Montaremos,Montarán
To need,Necesitar,Regular,Necesitando,Regular,Necesito,Necesitas,Necesita,Necesitamos,Necesitan,Regular,Necesité,Necesitaste,Necesitó,Necesitamos,Necesitaron,Regular,Necesitaba,Necesitabas,Necesitaba,Necesitábamos,Necesitaban,Regular,Necesitaré,Necesitarás,Necesitará,Necesitaremos,Necesitarán
To organize,Organizar,Regular,Organizando,Regular,Organizo,Organizas,Organiza,Organizamos,Organizan,Orthographic,Organicé,Organizaste,Organizó,Organizamos,Organizaron,Regular,Organizaba,Organizabas,Organizaba,Organizábamos,Organizaban,Regular,Organizaré,Organizarás,Organizará,Organizaremos,Organizarán
To ought to,Deber,Regular,Debiendo,Regular,Debo,Debes,Debe,Debemos,Deben,Regular,Debí,Debiste,Debió,Debimos,Debieron,Regular,Debía,Debías,Debía,Debíamos,Debían,Regular,Deberé,Deberás,Deberá,Deberemos,Deberán
To pay,Pagar,Regular,Pagando,Regular,Pago,Pagas,Paga,Pagamos,Pagan,Orthographic,Pagué,Pagaste,Pagó,Pagamos,Pagaron,Regular,Pagaba,Pagabas,Pagaba,Pagábamos,Pagaban,Regular,Pagaré,Pagarás,Pagará,Pagaremos,Pagarán
To play,Jugar,Regular,Jugando,Stem Changing,Juego,Juegas,Juega,Jugamos,Juegan,Orthographic,Jugué,Jugaste,Jugó,Jugamos,Jugaron,Regular,Jugaba,Jugabas,Jugaba,Jugábamos,Jugaban,Regular,Jugaré,Jugarás,Jugará,Jugaremos,Jugarán
To practice,Practicar,Regular,Practicando,Regular,Practico,Practicas,Practica,Practicamos,Practican,Orthographic,Practiqué,Practicaste,Practicó,Practicamos,Practicaron,Regular,Practicaba,Practicabas,Practicaba,Practicábamos,Practicaban,Regular,Practicaré,Practicarás,Practicará,Practicaremos,Practicarán
To prepare,Preparar,Regular,Preparando,Regular,Preparo,Preparas,Prepara,Preparamos,Preparan,Regular,Preparé,Preparaste,Preparó,Preparamos,Prepararon,Regular,Preparaba,Preparabas,Preparaba,Preparábamos,Preparaban,Regular,Prepararé,Prepararás,Preparará,Prepararemos,Prepararán
To put,Poner,Regular,Poniendo,Irregular,Pongo,Pones,Pone,Ponemos,Ponen,Irregular,Puse,Pusiste,Puso,Pusimos,Pusieron,Regular,Ponía,Ponías,Ponía,Poníamos,Ponían,Irregular,Pondré,Pondrás,Pondrá,Pondremos,Pondrán
To read,Leer,Irregular,Leyendo,Regular,Leo,Lees,Lee,Leemos,Leen,Orthographic,Leí,Leíste,Leyó,Leímos,Leyeron,Regular,Leía,Leías,Leía,Leíamos,Leían,Regular,Leeré,Leerás,Leerá,Leeremos,Leerán
To receive,Recibir,Regular,Recibiendo,Regular,Recibo,Recibes,Recibe,Recibimos,Reciben,Regular,Recibí,Recibiste,Recibió,Recibimos,Recibieron,Regular,Recibía,Recibías,Recibía,Recibíamos,Recibían,Regular,Recibiré,Recibirás,Recibirá,Recibiremos,Recibirán
To relax,Descansar,Regular,Descansando,Regular,Descanso,Descansas,Descansa,Descansamos,Descansan,Regular,Descansé,Descansaste,Descansó,Descansamos,Descansaron,Regular,Descansaba,Descansabas,Descansaba,Descansábamos,Descansaban,Regular,Descansaré,Descansarás,Descansará,Descansaremos,Descansarán
To return,Regresar,Regular,Regresando,Regular,Regreso,Regresas,Regresa,Regresamos,Regresan,Regular,Regresé,Regresaste,Regresó,Regresamos,Regresaron,Regular,Regresaba,Regresabas,Regresaba,Regresábamos,Regresaban,Regular,Regresaré,Regresarás,Regresará,Regresaremos,Regresarán
To run,Correr,Regular,Corriendo,Regular,Corro,Corres,Corre,Corremos,Corren,Regular,Corrí,Corriste,Corrió,Corrimos,Corrieron,Regular,Corría,Corrías,Corría,Corríamos,Corrían,Regular,Correré,Correrás,Correrá,Correremos,Correrán
"To say,To tell",Decir,Stem Changing,Diciendo,"Irregular, Stem Changing",Digo,Dices,Dice,Decimos,Dicen,Irregular,Dije,Dijiste,Dijo,Dijimos,Dijeron,Regular,Decía,Decías,Decía,Decíamos,Decían,Irregular,Diré,Dirás,Dirá,Diremos,Dirán
To see,Ver,Regular,Viendo,Irregular,Veo,Ves,Ve,Vemos,Ven,Irregular,Vi,Viste,Vio,Vimos,Vieron,Irregular,Veía,Veías,Veía,Veíamos,Veían,Regular,Veré,Verás,Verá,Veremos,Verán
To show,Mostrar,Regular,Mostrando,Stem Changing,Muestro,Muestras,Muestra,Mostramos,Muestran,Regular,Mostré,Mostraste,Mostró,Mostramos,Mostraron,Regular,Mostraba,Mostrabas,Mostraba,Mostrábamos,Mostraban,Regular,Mostraré,Mostrarás,Mostrará,Mostraremos,Mostrarán
To sing,Cantar,Regular,Cantando,Regular,Canto,Cantas,Canta,Cantamos,Cantan,Regular,Canté,Cantaste,Cantó,Cantamos,Cantaron,Regular,Cantaba,Cantabas,Cantaba,Cantábamos,Cantaban,Regular,Cantaré,Cantarás,Cantará,Cantaremos,Cantarán
To sleep,Dormir,Stem Changing,Durmiendo,Stem Changing,Duermo,Duermes,Duerme,Dormimos,Duermen,Stem Changing,Dormí,Dormiste,Durmió,Dormimos,Durmieron,Regular,Dormía,Dormías,Dormía,Dormíamos,Dormían,Regular,Dormiré,Dormirás,Dormirá,Dormiremos,Dormirán
To speak,Hablar,Regular,Hablando,Regular,Hablo,Hablas,Habla,Hablamos,Hablan,Regular,Hablé,Hablaste,Habló,Hablamos,Hablaron,Regular,Hablaba,Hablabas,Hablaba,Hablábamos,Hablaban,Regular,Hablaré,Hablarás,Hablará,Hablaremos,Hablarán
To study,Estudiar,Regular,Estudiando,Regular,Estudio,Estudias,Estudia,Estudiamos,Estudian,Regular,Estudié,Estudiaste,Estudió,Estudiamos,Estudiaron,Regular,Estudiaba,Estudiabas,Estudiaba,Estudiábamos,Estudiaban,Regular,Estudiaré,Estudiarás,Estudiará,Estudiaremos,Estudiarán
To swim,Nadar,Regular,Nadando,Regular,Nado,Nadas,Nada,Nadamos,Nadan,Regular,Nadé,Nadaste,Nadó,Nadamos,Nadaron,Regular,Nadaba,Nadabas,Nadaba,Nadábamos,Nadaban,Regular,Nadaré,Nadarás,Nadará,Nadaremos,Nadarán
To take,Tomar,Regular,Tomando,Regular,Tomo,Tomas,Toma,Tomamos,Toman,Regular,Tomé,Tomaste,Tomó,Tomamos,Tomaron,Regular,Tomaba,Tomabas,Tomaba,Tomábamos,Tomaban,Regular,Tomaré,Tomarás,Tomará,Tomaremos,Tomarán
"To take,To wear",Llevar,Regular,Llevando,Regular,Llevo,Llevas,Lleva,Llevamos,Llevan,Regular,Llevé,Llevaste,Llevó,Llevamos,Llevaron,Regular,Llevaba,Llevabas,Llevaba,Llevábamos,Llevaban,Regular,Llevaré,Llevarás,Llevará,Llevaremos,Llevarán
To take care of,Cuidar,Regular,Cuidando,Regular,Cuido,Cuidas,Cuida,Cuidamos,Cuidan,Regular,Cuidé,Cuidaste,Cuidó,Cuidamos,Cuidaron,Regular,Cuidaba,Cuidabas,Cuidaba,Cuidábamos,Cuidaban,Regular,Cuidaré,Cuidarás,Cuidará,Cuidaremos,Cuidarán
To take out,Sacar,Regular,Sacando,Regular,Saco,Sacas,Saca,Sacamos,Sacan,Orthographic,Saqué,Sacaste,Sacó,Sacamos,Sacaron,Regular,Sacaba,Sacabas,Sacaba,Sacábamos,Sacaban,Regular,Sacaré,Sacarás,Sacará,Sacaremos,Sacarán
To teach,Enseñar,Regular,Enseñando,Regular,Enseño,Enseñas,Enseña,Enseñamos,Enseñan,Regular,Enseñé,Enseñaste,Enseñó,Enseñamos,Enseñaron,Regular,Enseñaba,Enseñabas,Enseñaba,Enseñábamos,Enseñaban,Regular,Enseñaré,Enseñarás,Enseñará,Enseñaremos,Enseñarán
To think,Pensar,Regular,Pensando,Stem Changing,Pienso,Piensas,Piensa,Pensamos,Piensan,Regular,Pensé,Pensaste,Pensó,Pensamos,Pensaron,Regular,Pensaba,Pensabas,Pensaba,Pensábamos,Pensaban,Regular,Pensaré,Pensarás,Pensará,Pensaremos,Pensarán
To touch,Tocar,Regular,Tocando,Regular,Toco,Tocas,Toca,Tocamos,Tocan,Orthographic,Toqué,Tocaste,Tocó,Tocamos,Tocaron,Regular,Tocaba,Tocabas,Tocaba,Tocábamos,Tocaban,Regular,Tocaré,Tocarás,Tocará,Tocaremos,Tocarán
To travel,Viajar,Regular,Viajando,Regular,Viajo,Viajas,Viaja,Viajamos,Viajan,Regular,Viajé,Viajaste,Viajó,Viajamos,Viajaron,Regular,Viajaba,Viajabas,Viajaba,Viajábamos,Viajaban,Regular,Viajaré,Viajarás,Viajará,Viajaremos,Viajarán
To understand,Entender,Regular,Entendiendo,Stem Changing,Entiendo,Entiendes,Entiende,Entendemos,Entienden,Regular,Entendí,Entendiste,Entendió,Entendimos,Entendieron,Regular,Entendía,Entendías,Entendía,Entendíamos,Entendían,Regular,Entenderé,Entenderás,Entenderá,Entenderemos,Entenderán
To wake up,Despertarse,Regular,Despertando,"Reflexive, Stem Changing",Me despierto,Te despiertas,Se despierta,Nos despertamos,Se despiertan,"Reflexive, Regular",Me desperté,Te despertaste,Se despertó,Nos despertamos,Se despertaron,"Reflexive, Regular",Me despertaba,Te despertabas,Se despertaba,Nos despertábamos,Se despertaban,Regular,Me despertaré,Te despertarás,Se despertará,Nos despertaremos,Se despertarán
To walk,Caminar,Regular,Caminando,Regular,Camino,Caminas,Camina,Caminamos,Caminan,Regular,Caminé,Caminaste,Caminó,Caminamos,Caminaron,Regular,Caminaba,Caminabas,Caminaba,Caminábamos,Caminaban,Regular,Caminaré,Caminarás,Caminará,Caminaremos,Caminarán
To want,Querer,Regular,Queriendo,Stem Changing,Quiero,Quieres,Quiere,Queremos,Quieren,Irregular,Quise,Quisiste,Quiso,Quisimos,Quisieron,Regular,Quería,Querías,Quería,Queríamos,Querían,Irregular,Querré,Querrás,Querrá,Querremos,Querrán
To wash,Lavar,Regular,Lavando,Regular,Lavo,Lavas,Lava,Lavamos,Lavan,Regular,Lavé,Lavaste,Lavó,Lavamos,Lavaron,Regular,Lavaba,Lavabas,Lavaba,Lavábamos,Lavaban,Regular,Lavaré,Lavarás,Lavará,Lavaremos,Lavarán
To win,Ganar,Regular,Ganando,Regular,Gano,Ganas,Gana,Ganamos,Ganan,Regular,Gané,Ganaste,Ganó,Ganamos,Ganaron,Regular,Ganaba,Ganabas,Ganaba,Ganábamos,Ganaban,Regular,Ganaré,Ganarás,Ganará,Ganaremos,Ganarán
To work,Trabajar,Regular,Trabajando,Regular,Trabajo,Trabajas,Trabaja,Trabajamos,Trabajan,Regular,Trabajé,Trabajaste,Trabajó,Trabajamos,Trabajaron,Regular,Trabajaba,Trabajabas,Trabajaba,Trabajábamos,Trabajaban,Regular,Trabajaré,Trabajarás,Trabajará,Trabajaremos,Trabajarán
To write,Escribir,Regular,Escribiendo,Regular,Escribo,Escribes,Escribe,Escribimos,Escriben,Regular,Escribí,Escribiste,Escribió,Escribimos,Escribieron,Regular,Escribía,Escribías,Escribía,Escribíamos,Escribían,Regular,Escribiré,Escribirás,Escribirá,Escribiremos,Escribirán
